air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,power_proxy
298.1,308.6,1551,42.8,0,66382.79999999999
298.2,308.7,1408,46.3,3,65190.399999999994
298.1,308.5,1498,49.4,5,74001.2
298.2,308.6,1433,39.5,7,56603.5
298.2,308.7,1408,40.0,9,56320.0
298.1,308.6,1425,41.9,11,59707.5
298.1,308.6,1558,42.4,14,66059.2
298.1,308.6,1527,40.2,16,61385.4
298.3,308.7,1667,28.6,18,47676.200000000004
298.5,309.0,1741,28.0,21,48748.0
298.4,308.9,1782,23.9,24,42589.799999999996
298.6,309.1,1423,44.3,29,63038.899999999994
298.6,309.1,1339,51.1,34,68422.90000000001
298.6,309.2,1742,30.0,37,52260.0
298.6,309.2,2035,19.6,40,39886.0
298.6,309.2,1542,48.4,42,74632.8
298.6,309.2,1311,46.6,44,61092.6
298.7,309.2,1410,45.6,47,64296.0
298.8,309.2,1306,54.5,50,71177.0
298.9,309.3,1632,32.5,55,53040.0
298.9,309.3,1375,42.7,58,58712.50000000001
298.8,309.3,1450,44.8,63,64959.99999999999
298.9,309.3,1581,30.7,65,48536.7
299.0,309.4,1758,25.7,68,45180.6
299.0,309.4,1561,37.3,70,58225.299999999996
299.0,309.5,1861,23.3,73,43361.3
299.1,309.5,1512,39.0,75,58968.0
299.1,309.4,1811,24.6,77,44550.600000000006
299.1,309.4,1439,44.2,82,63603.8
299.0,309.4,1693,30.1,84,50959.3
299.1,309.5,1339,48.2,86,64539.8
299.0,309.4,1798,25.5,89,45849.0
299.0,309.4,1419,48.3,91,68537.7
298.9,309.3,1665,32.5,93,54112.5
298.8,309.1,1559,34.7,95,54097.3
298.8,309.2,1452,48.6,98,70567.2
298.9,309.2,1581,36.7,101,58022.700000000004
298.8,309.1,1439,39.2,104,56408.8
298.9,309.2,1379,50.7,106,69915.3
298.8,309.1,1350,52.5,111,70875.0
298.8,309.1,1362,45.4,113,61834.799999999996
298.8,309.1,1368,50.8,115,69494.4
298.8,309.1,1368,49.1,117,67168.8
298.8,309.2,1372,48.5,120,66542.0
298.8,309.1,1472,47.5,125,69920.0
298.8,309.1,1489,49.1,128,73109.90000000001
298.7,309.0,1843,25.8,130,47549.4
298.8,309.1,1418,46.3,133,65653.4
298.8,309.2,1425,53.9,135,76807.5
298.9,309.2,1412,44.1,140,62269.200000000004
298.9,309.1,2861,4.6,143,13160.599999999999
298.9,309.1,1383,54.9,145,75926.7
298.8,309.0,1497,43.8,147,65568.59999999999
298.7,309.0,1565,35.1,152,54931.5
298.7,309.0,1691,30.1,154,50899.100000000006
298.8,309.1,1512,40.7,156,61538.4
298.8,309.1,1477,42.4,158,62624.799999999996
298.8,309.1,1513,40.3,160,60973.899999999994
298.8,309.0,1661,29.5,162,48999.5
298.8,309.1,1378,54.4,165,74963.2
298.8,309.1,1393,52.6,167,73271.8
298.8,309.0,1592,38.2,169,60814.4
298.8,309.0,1829,22.9,172,41884.1
298.9,309.0,1812,25.9,174,46930.799999999996
299.0,309.1,1523,38.6,177,58787.8
299.0,309.1,1394,45.1,179,62869.4
298.9,308.9,1679,28.7,181,48187.299999999996
298.8,308.9,1466,44.1,184,64650.6
298.8,308.9,1527,32.4,189,49474.799999999996
298.9,309.0,1410,65.7,191,92637.0
298.9,309.0,1924,22.6,193,43482.4
298.9,309.1,1452,45.5,196,66066.0
298.9,309.1,1369,44.4,198,60783.6
299.0,309.1,1592,35.0,200,55720.0
298.9,309.0,1601,32.3,202,51712.299999999996
298.8,308.9,1379,46.7,204,64399.3
298.8,308.9,1461,47.9,206,69981.9
298.8,308.9,1455,41.3,208,60091.49999999999
298.8,308.9,1398,51.5,0,71997.0
298.8,308.9,1402,37.9,2,53135.799999999996
298.8,308.8,1445,49.9,4,72105.5
298.9,308.9,1450,47.5,9,68875.0
298.9,308.9,1453,40.8,11,59282.399999999994
299.0,309.0,1469,40.1,13,58906.9
298.9,308.9,1422,47.6,15,67687.2
299.0,309.0,1804,26.8,17,48347.200000000004
299.0,309.0,1436,43.9,20,63040.4
299.0,309.0,1544,31.8,25,49099.200000000004
299.0,309.0,1419,45.2,27,64138.8
298.9,308.9,1487,39.5,30,58736.5
298.9,308.9,1753,25.8,33,45227.4
298.9,308.9,1830,24.9,35,45567.0
298.9,308.9,1727,27.1,37,46801.700000000004
299.1,309.0,1450,43.0,40,62350.0
299.0,308.9,1622,31.9,42,51741.799999999996
299.0,309.0,1351,52.2,44,70522.2
299.0,309.0,1575,35.3,47,55597.49999999999
298.9,308.9,1750,29.9,50,52325.0
298.9,308.8,1529,32.7,53,49998.3
298.8,308.8,1523,44.4,55,67621.2
298.8,308.9,1852,25.0,57,46300.0
298.8,308.8,1991,20.7,59,41213.7
298.8,308.8,1555,40.6,61,63133.0
298.8,308.8,1441,40.5,63,58360.5
298.8,308.7,1450,43.4,66,62930.0
298.8,308.7,1591,31.1,68,49480.100000000006
298.8,308.7,1445,48.5,70,70082.5
298.8,308.8,1497,46.8,72,70059.59999999999
298.9,308.8,1621,32.7,75,53006.700000000004
298.9,308.7,1572,34.1,80,53605.200000000004
298.8,308.6,1872,22.5,82,42120.0
298.7,308.6,1499,43.5,84,65206.5
298.8,308.7,1498,39.5,89,59171.0
298.8,308.6,1486,41.9,92,62263.4
298.8,308.6,1680,29.4,95,49392.0
298.8,308.6,1431,45.7,97,65396.700000000004
298.9,308.7,1564,34.1,99,53332.4
298.8,308.6,1599,33.0,101,52767.0
298.8,308.6,1707,28.1,103,47966.700000000004
298.7,308.5,1467,40.7,106,59706.9
298.9,308.7,1433,44.7,108,64055.100000000006
298.9,308.7,1558,41.2,110,64189.600000000006
299.0,308.8,1310,50.7,112,66417.0
298.9,308.7,1546,43.4,114,67096.4
298.9,308.7,1727,29.4,116,50773.799999999996
298.9,308.6,1560,32.2,118,50232.00000000001
299.0,308.6,1329,60.5,120,80404.5
298.9,308.6,1413,46.5,122,65704.5
299.0,308.6,1587,38.6,124,61258.200000000004
298.9,308.5,1559,34.3,126,53473.7
298.8,308.4,1473,41.1,128,60540.3
298.8,308.4,1737,27.7,130,48114.9
298.7,308.4,1441,43.2,132,62251.200000000004
298.7,308.4,1430,49.6,135,70928.0
298.8,308.4,1369,53.0,138,72557.0
298.8,308.5,1711,28.5,140,48763.5
298.7,308.5,1420,45.7,143,64894.00000000001
298.7,308.6,1297,55.3,148,71724.09999999999
298.8,308.6,1449,49.4,150,71580.59999999999
298.8,308.6,1268,55.8,155,70754.4
298.8,308.6,1511,36.1,157,54547.1
298.7,308.5,1544,35.2,159,54348.8
298.6,308.4,1778,28.2,161,50139.6
298.6,308.4,1407,50.5,164,71053.5
298.6,308.4,1391,42.4,169,58978.4
298.5,308.4,1513,33.6,172,50836.8
298.5,308.4,1612,36.1,174,58193.200000000004
298.4,308.4,1515,40.1,179,60751.5
298.3,308.3,1379,48.0,181,66192.0
298.4,308.3,1473,39.9,184,58772.7
298.4,308.3,1422,42.7,186,60719.4
298.4,308.2,1463,37.6,188,55008.8
298.4,308.2,1584,41.0,191,64944.0
298.4,308.2,1850,27.0,194,49950.0
298.4,308.2,1528,36.2,196,55313.600000000006
298.4,308.2,1987,19.8,198,39342.6
298.4,308.1,1495,46.0,203,68770.0
298.4,308.2,1478,43.5,206,64293.0
298.4,308.2,1499,40.0,211,59960.0
298.4,308.2,1471,47.0,214,69137.0
298.4,308.2,1282,60.7,216,77817.40000000001
298.3,308.1,1412,52.3,218,73847.59999999999
298.3,308.1,1586,35.5,0,56303.0
298.4,308.2,1468,43.8,2,64298.399999999994
298.5,308.3,1440,43.6,5,62784.0
298.5,308.4,1733,26.0,8,45058.0
298.4,308.2,1612,32.6,10,52551.200000000004
298.4,308.3,1458,42.9,15,62548.2
298.4,308.3,1433,62.3,20,89275.9
298.4,308.3,1318,59.1,22,77893.8
298.4,308.2,1610,35.0,24,56350.0
298.2,308.1,1462,50.8,27,74269.59999999999
298.1,308.0,1924,20.8,29,40019.200000000004
298.2,308.0,1591,33.7,32,53616.700000000004
298.2,308.1,1306,58.3,35,76139.8
298.2,308.1,1382,43.5,37,60117.0
298.2,308.1,1618,34.7,39,56144.600000000006
298.2,308.2,1988,21.4,41,42543.2
298.2,308.2,1436,50.2,43,72087.2
298.2,308.3,1304,49.8,45,64939.2
298.2,308.3,1475,49.9,47,73602.5
298.2,308.3,1824,24.2,49,44140.799999999996
298.1,308.2,1342,48.1,54,64550.200000000004
298.1,308.2,1485,40.7,57,60439.50000000001
298.2,308.2,1667,30.6,59,51010.200000000004
298.2,308.2,1446,38.2,61,55237.200000000004
298.1,308.3,1301,56.0,63,72856.0
298.2,308.4,1379,43.1,65,59434.9
298.3,308.5,1606,33.6,67,53961.600000000006
298.3,308.4,1539,43.4,69,66792.59999999999
298.2,308.4,1477,49.9,72,73702.3
298.2,308.4,1666,34.6,74,57643.600000000006
298.2,308.4,1398,51.8,76,72416.4
298.2,308.4,1678,34.6,81,58058.8
298.2,308.5,2678,10.7,86,28654.6
298.3,308.5,1453,42.9,89,62333.7
298.3,308.6,1432,49.5,91,70884.0
298.4,308.6,1527,40.9,96,62454.299999999996
298.4,308.7,1588,35.0,99,55580.0
298.4,308.6,1433,47.1,101,67494.3
298.4,308.6,1609,35.0,103,56315.0
298.3,308.5,1575,41.2,105,64890.00000000001
298.4,308.5,1636,35.7,107,58405.200000000004
298.4,308.5,1490,37.9,110,56471.0
298.4,308.5,1741,32.8,112,57104.799999999996
298.5,308.6,1344,53.0,114,71232.0
298.5,308.7,1609,35.3,117,56797.7
298.4,308.7,1421,60.7,119,86254.7
298.4,308.6,1591,36.7,122,58389.700000000004
298.4,308.6,1477,44.0,124,64988.0
298.4,308.7,1523,36.1,126,54980.3
298.5,308.7,1575,33.9,128,53392.5
298.4,308.7,1344,52.9,130,71097.59999999999
298.4,308.7,1386,44.9,135,62231.4
298.3,308.6,1589,37.1,137,58951.9
298.3,308.6,1548,40.3,140,62384.399999999994
298.3,308.6,1499,38.3,142,57411.7
298.3,308.5,1664,31.6,144,52582.4
298.3,308.6,1447,38.1,146,55130.700000000004
298.3,308.5,1434,46.2,148,66250.8
298.3,308.5,1416,52.7,151,74623.2
298.4,308.5,1827,24.3,153,44396.1
298.4,308.6,1304,45.0,158,58680.0
298.4,308.6,1569,34.4,160,53973.6
298.3,308.6,1584,29.3,162,46411.200000000004
298.3,308.5,1362,53.8,164,73275.59999999999
298.3,308.4,1329,49.2,166,65386.8
298.3,308.5,1539,36.1,168,55557.9
298.3,308.5,1629,37.1,170,60435.9
298.3,308.5,1538,32.2,173,49523.600000000006
298.3,308.6,1570,34.8,175,54635.99999999999
298.3,308.4,1408,43.1,177,60684.8
298.2,308.4,1424,47.6,179,67782.40000000001
298.2,308.4,1512,34.9,181,52768.799999999996
298.2,308.4,1478,42.9,183,63406.2
298.1,308.3,1680,33.7,185,56616.00000000001
298.1,308.3,1495,38.7,188,57856.50000000001
298.0,308.1,1552,36.6,190,56803.200000000004
297.9,308.1,1393,50.3,193,70067.9
298.0,308.2,1611,30.6,195,49296.600000000006
298.0,308.1,1339,51.6,197,69092.40000000001
298.0,308.1,1777,24.3,200,43181.1
298.0,308.2,1348,58.8,202,79262.4
298.0,308.2,1442,44.1,204,63592.200000000004
298.0,308.2,1395,49.1,206,68494.5
297.9,308.1,1627,31.4,209,51087.799999999996
297.9,308.1,1585,33.5,212,53097.5
298.0,308.2,1469,45.5,214,66839.5
298.0,308.3,1362,56.8,216,77361.59999999999
298.0,308.3,1405,56.2,218,78961.0
298.0,308.3,1662,32.7,0,54347.4
298.0,308.2,1466,42.6,2,62451.6
298.0,308.2,1620,35.8,5,57995.99999999999
298.0,308.2,1357,48.2,7,65407.4
298.0,308.2,1514,37.9,9,57380.6
298.0,308.2,1489,40.4,11,60155.6
298.1,308.3,1331,63.0,13,83853.0
298.0,308.0,1615,29.5,15,47642.5
298.1,308.2,1482,37.9,17,56167.799999999996
298.1,308.2,1420,63.9,19,90738.0
298.2,308.3,1522,49.1,22,74730.2
298.1,308.2,1654,32.1,25,53093.4
298.1,308.2,1736,26.8,27,46524.8
298.0,308.1,1587,32.3,30,51260.1
298.1,308.2,1390,47.5,33,66025.0
298.0,308.1,1454,37.1,35,53943.4
298.0,308.1,1440,43.7,37,62928.00000000001
297.9,308.0,1954,21.1,42,41229.4
297.9,308.0,1800,24.8,44,44640.0
298.0,308.0,1524,37.0,49,56388.0
298.0,308.0,1520,39.6,51,60192.0
298.1,308.1,1452,40.8,56,59241.6
298.1,308.1,1484,40.4,59,59953.6
298.1,308.0,1426,46.0,61,65596.0
298.1,308.0,1652,28.5,63,47082.0
298.0,308.0,1401,54.7,65,76634.7
298.0,307.9,1750,26.6,67,46550.0
298.0,308.0,1479,50.7,70,74985.3
298.0,308.0,1620,29.4,75,47628.0
298.0,308.1,1819,23.4,78,42564.6
298.1,308.1,1456,43.7,80,63627.200000000004
298.1,308.0,1626,36.5,83,59349.0
298.1,308.1,1390,49.8,85,69222.0
298.2,308.2,1469,43.0,88,63167.0
298.2,308.3,2051,19.2,90,39379.2
298.2,308.3,1568,36.0,92,56448.0
298.2,308.3,1589,33.2,94,52754.8
298.2,308.3,1805,31.6,96,57038.0
298.2,308.4,1385,42.2,98,58447.00000000001
298.1,308.4,1436,46.7,103,67061.2
298.1,308.4,1438,45.6,105,65572.8
298.0,308.3,1473,42.6,107,62749.8
298.1,308.4,1335,40.2,109,53667.00000000001
298.1,308.5,1392,44.8,111,62361.6
298.1,308.5,1372,51.1,116,70109.2
298.1,308.6,1716,30.7,119,52681.2
298.0,308.5,1395,46.2,122,64449.00000000001
298.0,308.5,1713,25.3,124,43338.9
297.9,308.5,2129,18.7,126,39812.299999999996
297.8,308.3,1567,35.6,131,55785.200000000004
297.8,308.4,1622,38.3,134,62122.6
297.7,308.4,1740,27.1,136,47154.0
297.8,308.4,1512,35.1,138,53071.200000000004
297.8,308.4,1479,43.5,143,64336.5
297.8,308.4,1737,27.5,146,47767.5
297.8,308.4,2129,19.2,148,40876.799999999996
297.8,308.4,1374,47.1,150,64715.4
297.8,308.4,1579,36.6,152,57791.4
297.9,308.5,1305,47.2,155,61596.00000000001
297.9,308.5,1449,40.8,157,59119.2
298.0,308.6,1526,41.8,160,63786.799999999996
298.0,308.6,1453,44.1,165,64077.3
297.9,308.6,1468,36.0,168,52848.0
298.0,308.6,1313,50.8,170,66700.4
297.9,308.5,1300,53.0,172,68900.0
297.9,308.4,1646,40.6,175,66827.6
297.8,308.4,1714,33.2,177,56904.8
297.8,308.4,1685,28.4,179,47854.0
297.8,308.4,1512,39.9,181,60328.799999999996
297.8,308.4,1612,32.1,183,51745.200000000004
297.8,308.4,1550,38.2,185,59210.00000000001
297.8,308.4,1518,32.5,190,49335.0
297.8,308.5,1448,40.0,192,57920.0
297.8,308.5,1561,46.3,194,72274.29999999999
297.8,308.5,1488,41.9,196,62347.2
297.8,308.5,1699,27.8,199,47232.200000000004
297.7,308.5,1501,41.4,201,62141.4
297.7,308.5,1373,56.7,203,77849.1
297.6,308.4,1703,31.4,205,53474.2
297.7,308.5,1720,29.9,210,51428.0
297.6,308.4,1398,41.9,215,58576.2
297.6,308.4,1391,51.9,218,72192.9
297.6,308.3,1538,40.2,0,61827.600000000006
297.5,308.2,1647,31.3,3,51551.1
297.5,308.1,1469,44.8,5,65811.2
297.4,308.1,1749,25.9,8,45299.1
297.6,308.2,1995,20.5,10,40897.5
297.6,308.3,1742,27.7,13,48253.4
297.5,308.2,1563,38.2,15,59706.600000000006
297.5,308.2,1713,32.2,17,55158.600000000006
297.4,308.1,1474,39.4,20,58075.6
297.4,308.2,1530,32.6,22,49878.0
297.4,308.2,1471,46.5,25,68401.5
297.5,308.3,1388,48.6,27,67456.8
297.5,308.2,2448,13.8,29,33782.4
297.5,308.3,1585,32.9,32,52146.5
297.5,308.3,1459,45.2,34,65946.8
297.5,308.3,1544,40.8,37,62995.2
297.6,308.3,1617,31.7,39,51258.9
297.6,308.3,1595,34.3,41,54708.49999999999
297.6,308.3,1400,44.3,43,62019.99999999999
297.6,308.4,1611,31.0,48,49941.0
297.6,308.4,1507,46.0,51,69322.0
297.5,308.3,1674,30.0,54,50220.0
297.6,308.3,1658,34.3,59,56869.399999999994
297.6,308.3,1623,36.9,61,59888.7
297.6,308.4,1398,48.9,63,68362.2
297.6,308.4,1517,34.2,66,51881.4
297.6,308.3,1467,36.7,68,53838.9
297.6,308.3,1567,34.6,71,54218.200000000004
297.5,308.3,1521,38.2,74,58102.200000000004
297.5,308.3,1596,36.8,77,58732.799999999996
297.6,308.3,1640,30.9,79,50676.0
297.6,308.3,1438,47.8,84,68736.4
297.6,308.4,1407,55.2,86,77666.40000000001
297.6,308.4,1353,57.5,88,77797.5
297.6,308.5,1552,40.9,90,63476.799999999996
297.6,308.4,1569,38.3,93,60092.7
297.5,308.4,1489,39.5,96,58815.5
297.5,308.4,1587,36.1,98,57290.700000000004
297.5,308.3,1622,37.2,103,60338.4
297.5,308.4,1604,38.1,106,61112.4
297.4,308.3,1405,51.7,108,72638.5
297.4,308.3,1412,42.0,111,59304.0
297.4,308.3,1431,43.0,113,61533.0
297.4,308.2,1533,37.4,115,57334.2
297.4,308.2,1401,51.9,117,72711.9
297.4,308.2,1424,53.9,120,76753.59999999999
297.3,308.2,1754,29.4,123,51567.6
297.3,308.2,1754,26.8,125,47007.200000000004
297.5,308.3,2564,12.8,127,32819.200000000004
297.5,308.5,1546,40.4,129,62458.399999999994
297.5,308.5,1335,48.0,131,64080.0
297.5,308.6,1842,27.0,133,49734.0
297.5,308.5,1712,26.8,136,45881.6
297.6,308.6,1414,45.4,138,64195.6
297.6,308.7,1319,50.9,141,67137.09999999999
297.7,308.7,1249,60.4,143,75439.59999999999
297.6,308.7,1455,48.2,145,70131.0
297.6,308.7,1408,54.8,147,77158.4
297.6,308.7,1460,46.7,150,68182.0
297.6,308.6,1491,38.1,152,56807.1
297.6,308.5,1490,43.4,154,64666.0
297.5,308.4,1350,52.2,157,70470.0
297.5,308.4,1528,39.9,160,60967.2
297.4,308.3,1571,37.7,162,59226.700000000004
297.4,308.3,1490,42.6,164,63474.0
297.4,308.3,1774,28.9,166,51268.6
297.4,308.3,1502,43.6,169,65487.200000000004
297.4,308.4,1392,49.7,174,69182.40000000001
297.4,308.5,2100,16.9,176,35490.0
297.5,308.5,1722,30.4,178,52348.799999999996
297.4,308.6,1678,32.3,180,54199.399999999994
297.3,308.6,1273,59.8,182,76125.4
297.3,308.6,1297,45.9,184,59532.299999999996
297.3,308.5,1350,57.6,186,77760.0
297.4,308.6,1439,51.9,188,74684.09999999999
297.4,308.5,1600,42.1,190,67360.0
297.4,308.6,1434,44.4,193,63669.6
297.4,308.6,1459,41.3,196,60256.7
297.5,308.6,1472,44.9,198,66092.8
